"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","revenue","costOfRevenue","grossProfit","researchAndDevelopmentExpenses","generalAndAdministrativeExpenses","sellingAndMarketingExpenses","sellingGeneralAndAdministrativeExpenses","otherExpenses","operatingExpenses","costAndExpenses","netInterestIncome","interestIncome","interestExpense","depreciationAndAmortization","ebitda","ebit","nonOperatingIncomeExcludingInterest","operatingIncome","totalOtherIncomeExpensesNet","incomeBeforeTax","incomeTaxExpense","netIncomeFromContinuingOperations","netIncomeFromDiscontinuedOperations","otherAdjustmentsToNetIncome","netIncome","netIncomeDeductions","bottomLineNetIncome","eps","epsDiluted","weightedAverageShsOut","weightedAverageShsOutDil"
"1999-07-31","MJDLF","CAD","0000000000","1999-07-31","1999-07-31 00:00:00","2000","Q1",27300000,18900000,8400000,0,0,0,5000000,0,7100000,26000000,0,0,0,2100000,3400000,1300000,0,1300000,-500000,800000,300000,500000,0,0,500000,0,500000,0.0167,0.0167,30000000,30000000
"2000-02-29","MKC","USD","0000063754","2000-04-13","2000-04-13 00:00:00","2000","Q1",462403000,284107000,178296000,0,0,0,125938000,14464000,140402000,424509000,0,0,0,14464000,52358000,37894000,0,37894000,-3288000,34606000,10189000,24417000,0,0,24417000,0,24417000,0.087,0.0861,280779902,283431080
"2000-02-29","MKC-V","USD","0000063754","2000-02-29","2000-02-29 00:00:00","2000","Q1",462403000,284107000,178296000,0,0,0,125938000,14464000,140402000,424509000,0,0,0,14464000,52358000,37894000,0,37894000,-3288000,34606000,10189000,24417000,0,0,24417000,0,24417000,0.0875,0.087,279097143,280537556
"1999-06-30","MKEWF","JPY","0000000000","1999-06-30","1999-06-29 20:00:00","2000","Q1",50260574221,0,50260574221,0,0,0,0,0,0,0,0,0,0,0,50260574221,50260574221,0,50260574221,-50260574221,0,-1005938669,1005938669,0,0,1005938669,0,1005938669,3.03,3.03,332000000,332000000
"2000-03-31","MKL","USD","0001096343","2000-05-08","2000-05-08 00:00:00","2000","Q1",148927000,120370000,28557000,0,0,0,0,8865000,8865000,129235000,-7272000,0,7272000,1593000,28557000,26964000,-7272000,19692000,0,19692000,5514000,14178000,0,0,14178000,0,14178000,2.47,2.44,5740081,5810656
"2000-03-31","MKP.TO","CAD","0000000000","2000-03-31","2000-03-30 19:00:00","2000","Q1",8200000,0,8200000,0,1800000,100000,1900000,-3700000,-1800000,-1800000,0,4700000,0,200000,10200000,10000000,0,10000000,-8100000,1900000,300000,1600000,0,0,1600000,0,1600000,0.19,0.19,8318694,8318694
"2000-04-30","MKSEF","CAD","0000000000","2000-04-30","2000-04-30 00:00:00","2000","Q1",0,0,0,0,0,0,7140,0,7140,7140,0,0,0,0,-7139,-7139,0,-7139,7139,0,5172,-5172,0,0,-5172,0,-5172,-0.0361,-0.0361,143280,143280
"2000-03-31","MKSI","USD","0001049502","2000-05-12","2000-05-12 00:00:00","2000","Q1",65556000,52233000,13323000,7123000,11000000,0,11000000,3078000,25421000,50940000,0,0,0,2700000,24282000,21204000,-2700000,18504000,773000,19277000,7318000,11959000,0,0,11959000,0,11959000,0.36,0.34,33618000,35331000
"1999-06-30","MKTAY","JPY","0000000000","1999-06-30","1999-06-29 20:00:00","2000","Q1",50260574221,0,50260574221,0,0,0,0,0,0,0,0,0,0,0,50260574221,50260574221,0,50260574221,-50260574221,0,-1005938669,1005938669,0,0,1005938669,0,1005938669,3.03,3.03,332000000,332000000
"2000-03-31","MKTY","USD","0000064463","2000-03-31","2000-03-30 19:00:00","2000","Q1",1733000,719000,1014000,266000,1428000,21000,1449000,0,1715000,2434000,0,0,0,21000,-7501000,0,0,-701000,-6821000,-7522000,-3461000,-4061000,0,0,-4061000,0,-4061000,-0.96,-0.96,4230208,4230208
"1999-06-30","MLAB","USD","0000724004","1999-08-13","1999-08-13 00:00:00","2000","Q1",1900000,600000,1300000,100000,500000,0,500000,0,600000,1200000,0,0,0,-100000,600000,665607,34393,700000,0,700000,200000,500000,0,0,500000,0,500000,0.12,0.11,4166667,4545455
"2000-03-31","MLFNF","CAD","0000000000","2000-03-31","2000-03-31 00:00:00","2000","Q1",818300000,781000000,37300000,0,0,0,0,0,19100000,800100000,0,0,0,19100000,37300000,18200000,0,18200000,-9200000,9000000,3500000,5500000,0,0,5500000,0,5500000,0.05,0.05,110000000,110000000
"2000-03-31","MLGAF","USD","0000000000","2000-03-31","2000-03-30 19:00:00","2000","Q1",218493,205142,13351,0,0,0,92153,0,94535,299678,0,0,0,2382.03423,-78803.337602,-81185.371831,0,-81185.371831,-3442.2459970000054,-84627.617828,3927.6026809999894,-88555.22051,0,0,-88555.22051,0,-88555.22051,-0.0044,-0.0044,20237896,20237896
"1999-09-04","MLHR","USD","0000066382","1999-10-19","1999-10-19 00:00:00","2000","Q1",472800000,291100000,181700000,0,0,0,124700000,0,124700000,415800000,0,0,0,19200000,75100000,0,0,57000000,-1100000,55900000,20700000,35200000,0,0,35200000,0,35200000,0.43,0.43,81500000,81500000
"2000-03-25","MLI","USD","0000089439","2000-05-05","2000-05-05 00:00:00","2000","Q1",302350000,233500000,75836000,0,0,-10000,24290000,9042000,33332000,266832000,0,0,0,9042000,51546000,42504000,0,42504000,-403000,42101000,15535000,26566000,0,0,26566000,0,26566000,0.19,0.17,69688000,77506000
"1999-09-04","MLKN","USD","0000066382","1999-10-19","1999-10-19 00:00:00","2000","Q1",472800000,271900000,200900000,0,0,0,124800000,19200000,144000000,415900000,0,0,0,19200000,76100000,56900000,0,56900000,-1000000,55900000,20700000,35200000,0,0,35200000,0,35200000,0.44,0.43,80000000,81860465
"2000-03-31","MLLGF","CAD","0000000000","2000-03-31","2000-03-31 00:00:00","2000","Q1",95300000,66800000,28500000,0,0,0,10000000,0,12800000,79600000,0,0,0,2800000,18500000,15700000,0,15700000,-200000,15500000,6600000,8900000,0,0,8900000,0,8900000,0.22,0.21,41118041,43107624
"2000-03-31","MLM","USD","0000916076","2000-05-12","2000-05-12 00:00:00","2000","Q1",276131000,231773000,44358000,620000,0,0,23592000,0,24212000,255985000,0,0,0,0,20146000,20146000,0,20146000,-8823000,11323000,3993000,7330000,0,0,7330000,0,7330000,0.16,0.16,46725456,46885058
"1999-12-31","MLMN","USD","0001100779","1999-12-31","1999-12-30 19:00:00","2000","Q1",72756,0,72756,0,0,0,117798,0,117798,117798,0,0,0,0,-45042,0,0,-45042,42,-45000,0,-45000,0,0,-45000,0,-45000,0,0,0,0
"2000-03-31","MLP","USD","0000063330","2000-05-12","2000-05-12 00:00:00","2000","Q1",24138000,23221000,917000,0,0,0,7829000,0,7829000,31050000,0,0,468000,-10419000,3725000,3725000,0,-6912000,-686000,3039000,1094000,1945000,0,0,1945000,0,1945000,0.27,0.27,7195800,7195800
"2000-04-30","MLR","USD","0000924822","2000-08-31","2000-08-31 00:00:00","2000","Q1",152288000,130993000,21295000,0,0,0,24430000,0,29323000,160316000,0,0,0,4893000,-3135000,-8028000,0,-8028000,-80923000,-88951000,-14708000,-74243000,0,0,-74243000,0,-74243000,-7.95,-7.95,9342000,9342000
"2000-03-31","MLSS","USD","0000855683","2000-05-15","2000-05-15 00:00:00","2000","Q1",1410793,460969,949824,101200,1635327,0,1635327,0,1915266,2376235,0,0,18445,178739,-786703,-965442,0,-965442,-228501,-1193943,246946,-1212388,0,0,-1212388,0,-1212388,-0.36,-0.36,3333020,3333020
