"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","revenue","costOfRevenue","grossProfit","researchAndDevelopmentExpenses","generalAndAdministrativeExpenses","sellingAndMarketingExpenses","sellingGeneralAndAdministrativeExpenses","otherExpenses","operatingExpenses","costAndExpenses","netInterestIncome","interestIncome","interestExpense","depreciationAndAmortization","ebitda","ebit","nonOperatingIncomeExcludingInterest","operatingIncome","totalOtherIncomeExpensesNet","incomeBeforeTax","incomeTaxExpense","netIncomeFromContinuingOperations","netIncomeFromDiscontinuedOperations","otherAdjustmentsToNetIncome","netIncome","netIncomeDeductions","bottomLineNetIncome","eps","epsDiluted","weightedAverageShsOut","weightedAverageShsOutDil"
"2025-03-31","JAGAJITIND.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",4915000000,3374300000,1540700000,0,712900000,30800000,743700000,1028500000,1772200000,5146500000,-281600000,0,281600000,92700000,142100000,49400000,-280900000,-231500000,-700000,-232200000,0,-232200000,-2300000,0,-234500000,0,-234500000,-5.04,-5.04,46559140,46559140
"2025-03-31","JAGANLAM.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",497972000,365200000,132772000,0,49919000,1046000,33053000,58683000,91736000,456936000,-9343000,0,9343000,13875000,60777000,46902000,-5866000,41036000,-3477000,37559000,9187000,28372000,0,0,28372000,0,28372000,3.88,3.88,7310256,7310256
"2025-09-30","JAGI.L","GBP","0000000000","2025-09-30","2025-09-30 00:00:00","2025","FY",54237000,288000,52035000,0,873000,0,873000,28000,901000,2493000,-169000,119000,288000,0,51744000,51744000,0,51744000,-610000,51134000,519000,50615000,0,0,50615000,0,50615000,0.7,0.7,72257481,72257481
"2025-03-31","JAGRAN.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",18881314000,7180585000,11700729000,0,393605000,1233397000,3921510000,5565633000,9487143000,16667728000,-214498000,0,214498000,1078290000,2658919000,1580629000,632957000,2213586000,-847455000,1366131000,426785000,939346000,0,0,1309269000,0,1309269000,6.02,6.02,217487000,217487000
"2025-03-31","JAGRAN.NS","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",18881314000,7180585000,11700729000,0,393605000,1233397000,3921510000,5565633000,9487143000,16667728000,-214498000,0,214498000,1078290000,2658919000,1580629000,632957000,2213586000,-847455000,1366131000,426785000,939346000,0,0,1309269000,0,1309269000,6.02,6.02,217487000,217487000
"2025-03-31","JAGSNPHARM.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",2687160000,964380000,1722780000,0,713590000,175420000,709330000,0,709330000,2257760000,-9580000,0,9580000,81310000,510710000,429400000,399140000,435490000,263100000,698590000,144980000,553610000,0,0,553610000,0,553610000,8.26,8.22,67349000,67349000
"2025-03-31","JAGSNPHARM.NS","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",2687160000,964380000,1722780000,0,713590000,175420000,709330000,0,709330000,2257760000,-9580000,0,9580000,81310000,510710000,429400000,399140000,435490000,263100000,698590000,144980000,553610000,0,0,553610000,0,553610000,8.26,8.22,67349000,67349000
"2025-03-31","JAGSONFI.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",1063000,1247000,-184000,0,647000,55000,702000,4779000,5481000,6728000,15000,15000,0,3000,-7119000,-7122000,1457000,-5665000,-1457000,-7122000,2000,-7125000,0,0,-7125000,0,-7125000,-1.28,-1.28,5552000,5552000
"2025-03-31","JAIBALAJI.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",63508000000,40657500000,22850500000,0,2321100000,84400000,2405500000,12715100000,15120600000,55778100000,-626600000,0,626600000,937900000,9344400000,8406500000,-676600000,7729900000,50000000,7779900000,2201100000,5578800000,0,0,5578800000,0,5578800000,6.2,6.18,912251430,912251430
"2025-03-31","JAIBALAJI.NS","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","FY",63508000000,40657500000,22850500000,0,2321100000,84400000,2405500000,12715100000,15120600000,55778100000,-626600000,0,626600000,937900000,9344400000,8406500000,-676600000,7729900000,50000000,7779900000,2201100000,5578800000,0,0,5578800000,0,5578800000,6.2,6.18,912251430,912251430
