"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","revenue","costOfRevenue","grossProfit","researchAndDevelopmentExpenses","generalAndAdministrativeExpenses","sellingAndMarketingExpenses","sellingGeneralAndAdministrativeExpenses","otherExpenses","operatingExpenses","costAndExpenses","netInterestIncome","interestIncome","interestExpense","depreciationAndAmortization","ebitda","ebit","nonOperatingIncomeExcludingInterest","operatingIncome","totalOtherIncomeExpensesNet","incomeBeforeTax","incomeTaxExpense","netIncomeFromContinuingOperations","netIncomeFromDiscontinuedOperations","otherAdjustmentsToNetIncome","netIncome","netIncomeDeductions","bottomLineNetIncome","eps","epsDiluted","weightedAverageShsOut","weightedAverageShsOutDil"
"2025-06-30","6586.T","JPY","0000000000","2025-06-30","2025-06-30 00:00:00","2026","Q1",186614000000,117631000000,68983000000,3919000000,0,0,42914000000,-3919000000,42914000000,160545000000,796000000,796000000,1581000000,7283000000,33352000000,26069000000,0,26069000000,796000000,26865000000,7585000000,19280000000,0,0,19281000000,0,19281000000,72.06,72.06,267552000,267552000
"2025-06-30","6588.T","JPY","0000000000","2025-06-30","2025-06-30 00:00:00","2026","Q1",121367000000,74640000000,46727000000,0,0,0,48845000000,0,48845000000,123485000000,-231000000,69000000,300000000,4266000000,902000000,-3364000000,1246000000,-2118000000,-1547000000,-3665000000,2131000000,-5796000000,0,0,-4987000000,0,-4987000000,-94.18,-94.18,52952000,52952000
"2025-06-30","6594.T","JPY","0000000000","2025-06-30","2025-06-30 00:00:00","2026","Q1",637899000000,576449000000,61450000000,21893000000,0,0,103791000000,0,125684000000,576449000000,3125000000,8925000000,5800000000,34517000000,95967000000,61450000000,0,61450000000,-2499000000,58951000000,13436000000,45515000000,-44000000,0,45515000000,0,45515000000,39.7,39.7,1146474000,1146474000
"2025-07-31","6630.T","JPY","0000000000","2025-07-31","2025-07-31 00:00:00","2026","Q1",4688000000,1844000000,2844000000,177000000,1930000000,1485000000,3415000000,82000000,3674000000,5518000000,5000000,6000000,1000000,139750000,-688250000,-828000000,-2000000,-830000000,12000000,-818000000,59000000,-877000000,0,0,-877000000,0,-877000000,-15.94,-15.94,55021185,55021182
"2025-06-30","6632.T","JPY","0000000000","2025-06-30","2025-06-30 00:00:00","2026","Q1",80197000000,55661000000,24536000000,4400000000,0,0,21484000000,-5704000000,20180000000,75841000000,-35000000,293000000,328000000,4239000000,8522000000,4283000000,73000000,4356000000,535000000,4891000000,1325000000,3566000000,0,0,3446000000,0,3446000000,23.38,23.19,148598533,148598533
"2025-06-30","6645.T","JPY","0000000000","2025-06-30","2025-06-30 00:00:00","2026","Q1",189477000000,106374000000,83103000000,12477000000,0,0,64250000000,0,76727000000,183101000000,0,0,0,8213000000,14589000000,6376000000,0,6376000000,2270000000,8646000000,1457000000,7189000000,0,0,6816000000,0,6816000000,34.62,34.62,196898000,196898000
"2025-11-30","6668.T","JPY","0000000000","2025-11-30","2025-11-29 19:00:00","2026","Q1",2414000000,1448000000,966000000,0,0,0,752000000,0,752000000,2200000000,-26000000,6000000,32000000,136000000,446000000,310000000,-96000000,214000000,64000000,278000000,174000000,104000000,0,-1000000,103000000,1000000,102000000,11.91,11.91,8567267,8567267
"2025-06-30","6674.T","JPY","0000000000","2025-06-30","2025-06-30 00:00:00","2026","Q1",131879000000,100627000000,31252000000,0,0,0,22938000000,1000000,22939000000,123566000000,-726000000,661000000,1387000000,-8314000000,0,8314000000,-1000000,8313000000,1674000000,9987000000,2350000000,7637000000,0,0,6530000000,0,6530000000,65.1,65.1,100302000,100302000
"2025-06-30","6701.T","JPY","0000000000","2025-06-30","2025-06-29 20:00:00","2026","Q1",715658000000,499470000000,216188000000,4576000000,0,0,179104000000,0,183680000000,683150000000,-4358000000,3302000000,7660000000,37383000000,76074000000,38691000000,-6183000000,32508000000,-405000000,32103000000,12647000000,19456000000,0,0,19310000000,0,19310000000,14.49,14.49,1332698000,1332698000
"2025-06-30","6702.T","JPY","0000000000","2025-06-30","2025-06-29 20:00:00","2026","Q1",749859000000,500434000000,249425000000,0,0,0,215558000000,0,215558000000,715992000000,1464000000,4234000000,2770000000,30923000000,68643000000,37720000000,-3853000000,33867000000,3193000000,37060000000,8894000000,28166000000,146341000000,0,171761000000,0,171761000000,96.64,96.4,1777340000,1781753000
