"date","symbol","reportedCurrency","cik","filingDate","acceptedDate","fiscalYear","period","netIncome","depreciationAndAmortization","deferredIncomeTax","stockBasedCompensation","changeInWorkingCapital","accountsReceivables","inventory","accountsPayables","otherWorkingCapital","otherNonCashItems","netCashProvidedByOperatingActivities","investmentsInPropertyPlantAndEquipment","acquisitionsNet","purchasesOfInvestments","salesMaturitiesOfInvestments","otherInvestingActivities","netCashProvidedByInvestingActivities","netDebtIssuance","longTermNetDebtIssuance","shortTermNetDebtIssuance","netStockIssuance","netCommonStockIssuance","commonStockIssuance","commonStockRepurchased","netPreferredStockIssuance","netDividendsPaid","commonDividendsPaid","preferredDividendsPaid","otherFinancingActivities","netCashProvidedByFinancingActivities","effectOfForexChangesOnCash","netChangeInCash","cashAtEndOfPeriod","cashAtBeginningOfPeriod","operatingCashFlow","capitalExpenditure","freeCashFlow","incomeTaxesPaid","interestPaid"
"2025-07-26","CSCO","USD","0000858877","2025-09-03","2025-09-03 16:52:59","2025","Q4",2550000000,635000000,-341000000,948000000,525000000,-1719000000,-332000000,267000000,2309000000,-83000000,4234000000,-217000000,0,-1641000000,1571000000,14000000,-273000000,-1176000000,-1624000000,448000000,-1148000000,-1148000000,416000000,-1564000000,0,-1625000000,-1625000000,0,0,-3949000000,-20000000,-8000000,8910000000,8918000000,4234000000,-217000000,4017000000,627000000,130000000
"2025-07-31","CSCO.NE","USD","0000858877","2025-07-31","2025-07-31 00:00:00","2025","Q4",2550000000,635000000,-341000000,948000000,525000000,-1719000000,-332000000,267000000,2309000000,-83000000,4234000000,-217000000,0,-1641000000,1571000000,14000000,-273000000,-1176000000,-1624000000,448000000,-1148000000,-1148000000,416000000,-1564000000,0,-1625000000,-1625000000,0,0,-3949000000,-20000000,-8000000,8910000000,8918000000,4234000000,-217000000,4017000000,627000000,130000000
"2025-03-31","CSIOF","JPY","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",3801000000,0,0,0,0,0,0,0,0,-3801000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-03-31","CSIOY","JPY","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",3801000000,0,0,0,0,0,0,0,0,-3801000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-06-30","CSL.AX","USD","0001274152","2025-06-30","2025-06-29 20:00:00","2025","Q4",1031391616,560786798,0,0,697028718,526062300,-317711604,545543529,-56865506,149584524,2438791656,-504274253,7519851,-543100,0,-19694915,-516992417,-629574176,0,-629574176,-1279386,-1279386,-1279386,0,0,-683447700,-683447700,0,-51666937,-1365968199,85690208,641521248,2164339757,1522818509,2438791656,-283227904,2155563751,0,0
"2025-03-31","CSLFINANCE.BO","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",189763000,0,0,0,0,0,0,0,0,-189763000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-03-31","CSLFINANCE.NS","INR","0000000000","2025-03-31","2025-03-31 00:00:00","2025","Q4",189763000,0,0,0,0,0,0,0,0,-189763000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-06-30","CSLLY","USD","0001274152","2025-06-30","2025-06-29 20:00:00","2025","Q4",1031391616,560786798,0,0,697028718,526062300,-317711604,545543529,-56865506,149584524,2438791656,-504274253,7519851,-543100,0,-19694915,-516992417,-629574176,0,-629574176,-1279386,-1279386,-1279386,0,0,-683447700,-683447700,0,-51666937,-1365968199,85690208,641521248,2164339757,1522818509,2438791656,-283227904,2155563751,0,0
"2025-05-31","CSMYF","JPY","0000000000","2025-05-31","2025-05-31 00:00:00","2025","Q4",8635000000,0,0,0,0,0,0,0,0,-8635000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2025-03-31","CSOC","USD","0001403231","2025-03-31","2025-03-30 20:00:00","2025","Q4",-4897471,5388,0,0,244886,270308,-411774,122830,263522,4726880,79683,-96099,0,0,0,0,-96099,-61205,-93141,31936,0,0,0,0,0,0,0,0,0,-61205,5586,-72035,18234,90269,79683,-96103,-16420,0,0
"2025-09-30","CSPI","USD","0000356037","2025-12-16","2025-12-16 17:17:11","2025","Q4",-191000,153000,-104000,411000,1641000,-6513000,1987000,6987000,-820000,-12000,1898000,-228000,0,0,0,-26000,-254000,-237000,0,-237000,-234000,-234000,0,-234000,0,-298000,-298000,0,187000,-582000,48000,1110000,27418000,26308000,1898000,-254000,1644000,0,0
"2025-10-31","CSQ","USD","0001275214","2025-10-31","2025-10-30 20:00:00","2025","Q4",806285873,0,0,0,1271452,136366,0,1200692,-65606,-813145240,-5587915,0,0,-1098053577,1153127391,0,55073814,50056198,50056198,0,0,0,0,0,0,-98571415,0,0,-82315,-48597532,0,888367,136958391,136070024,-5587915,-5,-5587920,0,0
"2025-06-30","CST.AX","AUD","0000000000","2025-06-30","2025-06-30 00:00:00","2025","Q4",-434260,382103,0,0,72962,-24606,0,0,97568,-651070,-630265,-649416,0,0,0,0,-649416,0,0,0,389101,389101,389101,0,0,0,0,0,-8220,380881,0,-898800,3991038,4889838,-630265,-649416,-1279681,0,428
"2025-05-31","CSUI","USD","0001680132","2025-09-12","2025-09-12 12:24:53","2025","Q4",44367,1061,0,0,15519,0,0,-15149,30668,-70147,-9200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,12000,0,2800,2850,50,-9200,-4.624242797099214,-9204,0,0
"2025-03-31","CSW","USD","0001624794","2025-03-31","2025-03-31 00:00:00","2025","Q4",35055000,11499000,-8159000,3350000,-18062000,-41432000,6837000,292000,16241000,3610000,27293000,-4531000,-193000,0,0,1076000,-3648000,0,0,0,-6758000,-6758000,0,-6758000,0,-4028000,-4028000,0,-1085000,-11871000,317000,12091000,225845000,213754000,27293000,-4531000,22762000,0,0
"2025-06-30","CSW-A.TO","CAD","0000000000","2025-06-30","2025-06-30 00:00:00","2025","Q4",6201000,4122000,2334000,0,4173000,-9904000,-1053000,14313000,817000,-1296000,15534000,-338000,0,0,0,-10094000,-10432000,1625000,-540000,2165000,0,0,0,0,0,-6548000,-6548000,0,0,-4923000,0,179000,179000,0,15534000,-354000,15180000,0,0
